title,description,topics
Why is nursing so competitive nowadays?,"When my mom went through to become an RN (1989) , she only had to do 3 years at a college, and was granted acceptance to all of the schools she applied to even after failing math and nearly failing chem lol. Today, it seems as though you have to have the smarts that would have been needed only from a medical student back then! What has caused for such a discrepancy!?","Health Professions and Clinical Sciences - Health Sciences,Trent University,Ryerson University,University of Ontario Institute of Technology,Queen's University,University of Western Ontario,Allied Medical & Health Services,Brock University,Health & Fitness,Nipissing University"
Does physiotherapy count as an extracurricular?,"Hi all,","McMaster University,University of British Columbia,Simon Fraser University"
ASK ME ANYTHING !! (currently a UBC Sauder student),Hello everyone!,"Business,University of British Columbia,Queen's University,Simon Fraser University,Business - Commerce,University of Alberta,University of Toronto"
Advice for a furture neuroscience undergrad?? What did you think of Neuroscience?,"Hello! I'm in grade 12 and I've been accepted into Neuroscience at the UofLethbridge and I've just applied to UofCalgary and UofAlberta for Neuroscience as well. One of the main reasons I'm interested in this program is because I'm just generally intriged by the brain and nervous system, as it is so complex and impressive, and we apparently still don't know much about it.","University of Alberta,University of Calgary,Biological and Biomedical Sciences - Neuroscience,University of Lethbridge"
AMA First Year Queen's Nursing!,Hey! I know I was really nervous this time of year last year and had loads of questions so if any aspiring nurses have any questions about Queen's nursing or applying to other schools across Canada i'll do my best to answer!,"University of Alberta,Queen's University,University of British Columbia,University of Western Ontario,McGill University,University of Calgary,McMaster University"
Requirements to become a Doctor,"Hi, I am a Canadian high school student apiring to become a doctor. My average is over 90+ and I have volunteered a lot for my community. But, I was wondering to become a doctor, do you need to win multiple awards and be required to receive the top mark in your school?","University of British Columbia,University of Ottawa,University of Toronto,Covenant Medical Center- Waterloo,McGill University,Queens University of Charlotte,McMaster University,A. T. Still University of Health Sciences,Ottawa University"
Is a career in music really possible?,"I'm sure most have heard the notion that music is only a hobby, not to be pursued as a career. Many creatives desire to be successful in the field but instead internalize this statement and allow their dreams to die. Is it a lack of knowledge about various careers in music that allow people to feel this way? Is it what people see on TV?","Levine School of Music,Atlanta Institute of Music,Cleveland Institute of Music,Berklee College of Music,American Musical and Dramatic Academy - Los Angeles,American Musical and Dramatic Academy - New York"
AMA (1st year healthsci @ mac),hi!,"Dalhousie University,Medical Sciences,A. T. Still University of Health Sciences,University of Western Ontario,Queen's University,University of Ottawa,Biological and Biomedical Sciences,McMaster University"
Laurier BBA vs UChicago Booth MBA,"After graduating from the Laurier BBA, I enrolled in the UChicago Booth part-time MBA. I must say, the difference is night and day. The quality of education at Booth is significantly higher than at Laurier. Some of the key differences","BBA,MBA,Battle of the Schools,University of Chicago,Wilfrid Laurier University"
Seneca Nursing Winter 2019 Start,Hey guys! I recently got accepted for the Seneca BScN Jan 2019 start. I just want to ask if there’s already an fb group or something for us? I would love to meet all of you guys. Pls feel free to drop your ig or questions. Cheers!,"Seneca College of Applied Arts & Technology,York University"
Does Rotman Commerce accept Night School Course?,"Hi all,","University of Toronto,Business - Commerce"
McGill ArtSci,"Any students who have been accepted into McGill artsci, what was your average like? What were your top six marks?",McGill University
Should I drop chem if I want to go to waterloo for CS?,"As I was talking to my guidance councillor about universities, she checked Queens, UofT and waterloo and they all said that the only prerequisites were english, Advanced functions, and Calc for some of them. Then she told me that since I have chem, physics and calc next semester, I could end up dropping either of the sciences since they are not prerequisites. My question is: do places like waterloo care if I have more sciences? Will I have a higher chance of being accepted if keep chem? (I will still be able to achieve a high mark in the class, but dropping it would reduce a lot of stress and give me more time to study for my other classes)","Computer Science,University of Waterloo"
Yconic Sold to Data Gathering Company,"So I noticed Yconic has been getting worse and worse over the past couple months. Links literally don’t work, all the info seems out of data and loads of other problems so I decided to do some Googling and may have found the answer.","Money,Business,Student Life,Scholarships,OSAP,General"
About summer school,"I want to go to UBC, UT, or UW for computer science or something like that.","University of Toronto,University of Waterloo,Computer Science,British Columbia Institute of Technology"
Telfer vs Queen's Commerce,"I live in Ottawa and am interested in pursuing business. My parents are really pushing me to go to OttawaU since it is so much cheaper than Queen's and has a co-op program. If by some miracle I get into QC, what do you all think is better? Go to a school closer to home with co-op? Or my dream school although it may cost me a bit extra. Also, does the fact that Queen's is far more respected guarantee me a better, higher paying job after graduation? Thanks","Queen's University,Business - Commerce,University of Ottawa"
Not the Best Grade 11 Marks...,"Grade 11 was by far my worst year academically and that's due to laziness (i will admit) and some personal issues, but I want to apply for university and go away.","Carleton University,Wilfrid Laurier University,Ottawa University,University of Ottawa"
Early Acceptance?,When does early acceptance usually happen? Specifically in regard to the University of Ottawa.,University of Ottawa
How difficult would it be for me to become a plastic surgeon?,"so im a grade 12 student currently taking math 30-1, chem 30 and art 30 with an 88% average. next semester i will be taking bio 30, social 30-2, and english 30-1. lets say i can maintain an average above 85% for grade 12. i am very hardworking and dedicated to my work and i believe i would be able to power through 8 years of school. is it still really unlikely to become a surgeon? i know i would be able to do it im just worried about how competitive it is.",University of British Columbia
The Best Undergraduate Degrees,"I'm asking due to my curiosity; which undergrad programs are the best. Which ones have the strongest pool of students, the tightest knit community, the most school pride, etc.","McGill University,Queen's University,McMaster University,University of British Columbia,University of Western Ontario,University of Waterloo,Sports,University of Toronto"
Admissions,Hello Fellow yconic users!,"University of Toronto,Business - Accounting,Business - Commerce"
Schulich First Year - Ask me what you want to know!,"Hey guys! I'm a first year at Schulich Undergrad, planning on specializing in either finance or accounting. I'm here to answer any questions about admissions, student life, academics, advice, and more! My biggest decision was between Laurier and Schulich, so if you are debating between the two, I will gladly share more insight on why I chose Schulich.","Wilfrid Laurier University,York University - Schulich School of Business"
How is York Kin?,Title says it all folks,York University
Is SHAD worth it?,"Hi all,","Education - General,General,Academics,High School,Student Life,Scholarships,Higher Education,Canada,Current Affairs"
"Grade 12 Data Management - PLEASE HELP ME, I am suffering.",,"Stress Management,Mathematics,High School"
CAREER FOCUSED SCHOOLS,I was wondering what are some universities that are more career focused. What I mean by this is schools that are interested in helping you find a good job and they don't just focus on you having a good undergraduate experience. Some of the schools I am looking at are:,"University of Guelph,Academics,University of Western Ontario,Battle of the Schools,Higher Education,University of Ottawa,York University"
Lauier BBA 2018- 2019 acceptance,Comment below if you applied to Laurier BBA (wlu):,Wilfrid Laurier University
Acceptance 2018,My grade 11 average is 91.5% and my  grade 12 average is (mid term)92% and my predicted scores are 96% do i have a chance to get into waterloo queens mcmaster ubc uoft western alberta and calgary ?,Engineering - Electrical
saugeen vs Medsyd,"Saugeen vs medsyd which ones better in terms of social life, partying and activities?",University of Western Ontario
Grade 11 marks,Hello everyone.,Math
doing terrible in grade 11,alright so,High School
Will Retaking Chem 12 Affect My Chance To Get Into UoT?,"I'm currently in grade 11 and fast-tracking by taking Chem 12 (1st semester) and Sociology 12 (2nd semester). I did okay in Chem 11, getting 87%. However, Chem 12 proves to be more challenging and I don't know if I can acquire my desired grades. If not, should I retake Chem 12 next year? I want to get into McGill or UoT for biochem, human biology, or something such as those.",University of Toronto - Mississauga
"Help! Medical Undergrad, MCAT Scores, and Applications","I am seeking help on how applying to university undergrad programs really work. Firstly, I am currently in Grade 11 in the IB program. The admissions for say Dalhousie say that a 3.00 is mandatory, and an MCAT, among other things. Is an MCAT a requirement to apply? And, when do I take it? I have read that if I take it in High School I will be at a disadvantage because I haven't taken the courses yet, but it's listed on the applications pages of many medical undergrad programs. Secondly, how do I find my GPA from an IB score? Do I use my converted Ontario mark to then convert to GPA? Thirdly, how does an Undergrad and general Uni apps work? My current perception is that you apply early grade 12, using predicted IB scores, and the ones already resulting from the exam (in my case Chemistry and Business) in Grade 11. Then, you submit a CASPer or a Personality Evaluation, and an MCAT? I'm really looking for a view on how the process works. So, MCAT or no, GPA from IB, and how to apply. Thanks so much for reading, I know that this blob of text is probably an eyesore to look at!","Medical Sciences,Dalhousie University,Western University of Health Sciences,McMaster University"
Going into Life/Health Sciences without Physics?,"I am currently in Grade 11 and a big mix-up has occurred due to my guidance counsellor making an error in my courses. I was originally supposed to have physics, but had been switched out. Two weeks in (currently), my guidance counsellor said that physics has opened up and that I can switch in. I am hesitant to take this decision for a few reasons, 1) My current math teacher is the best our school has to offer and getting physics will switch me into another math class. 2) Many students only take 11 Physics anyways, so it might not even be worth risking it if I am only going to take it for once year. 3) Semester becomes crowded: Accounting, Math, Bio, Phys. Which will inevitably cause my maths and biology mark to drop when I have 3 major subjects to study for.","Courses,McMaster University,University of Toronto"
UWaterloo AFM 3A! ASK ME ANYTHING,Hi there y'all. Its application and acceptance season again! I remember this forum really helped me a lot when I was doing apps so I thought I would post one of these. I'm currently a student at Waterloo in the AFM program. Just completed my 2nd year and am doing my second coop term before I return in winter for my 3A term.,"University of Waterloo,Business - Co-operatives Studies,Business - Accounting,Business - Finance,Business"
Anyone trust those survey scholarships?,There are so many offered 'scholarships' that are actually just links to survey websites. Has anyone dine one that actually works?,Scholarships
NURSES HELP ME!!!!!!!!!!!,,"York University,McMaster University,Health Professions and Clinical Sciences - Nursing,High School,Ryerson University"
Computer Science @ UTM,"Hi, is there anyone here who is taking Computer Science at UTM? Can you please tell me about your experience with the professors, PEY, coursework, etc. All input is greatly appreciated. Thank you...",Computer Sciences
Computer Science/Software Engineering @ University of Waterloo,"Hi, is there anyone here who is enrolled in the computer science/software engineering program at Waterloo? Can you please tell me about your experience with the teachers, coursework and co-op. All input is greatly appreciated...",Computer Sciences
Scholarship Application :(,Hi!! I was recently completing my Loran Scholarship application and the portion that asks which university you want to attend says individuals chosen as Loran Scholars are expected to leave their home region???? I was planning to go to the university in my city but if I were to win this scholarship would I have to go somewhere else?? I understand there are different loran awards (some win $80000 and some win a couple thousand for being a finalist) so would I become ineligible to win any awards?,"Canada,McGill University,University of Victoria,Scholarships,High School,University of Alberta,Dalhousie University,University of British Columbia,University of Waterloo,Queen's University,University of Calgary,University of Manitoba,University of Toronto"
McMaster Residency Halls,"Which Residency Halls at McMaster University would be considered the ""best"". I am looking to stay in a double room with my friend who as well is going to McMaster.",McMaster University
Best College / Residence for U of T Life Science,"The University of Toronto is my first choice school, however, the whole college thing is confusing. I am filling in my OUAC application right now and currently, this is my college ranking:","University of Toronto - Woodsworth College,University of Toronto"
Programs in Post Secondary for Policing,I just want to know what program is appropriate for becoming a police officer in Canada.,"Ryerson University,University of Toronto - Mississauga,Criminology"
Is McGill's international tuition likely to change a lot this year?,"I saw that tuition for all McGill faculties have been deregulated this year (https://www.mcgill.ca/provost/article/changes-quebec-tuition-policy-respect-international-undergraduate-students), meaning that McGill will be able to set its international tuition rate for the Faculty of Arts, etc.",McGill University
"is there any other, faster way to take english 30-1 when ive already taken 30-2","so i had a shit english teacher in grade 11 and got under 65% so the counsillers made me take english 30-2. i have a 92% in english 30-2 and you pretty well need english 30-1 for every university program, but i dont have enough room on my schedule to take 30-1 next semester and i want to attend university next fall. does anyone know what i could do in this situation?? i’m considering taking it online but i already have 2 other online courses next sem & a full schedule.",High School
will i get accepted into college with a 65% average?,"so i really want to apply for Seneca's creative advertisement program, but my grade 11 average was 65%. it would be nice to get early acceptance but i'm not sure I will get accepted with that average. right now in grade 12 i have an 89% average which I think i can maintain until the end of the semester. I'm not sure if I should apply now or wait until january, but if there is a decent chance of getting accepted with my grade 11 marks I would prefer to do that. Also, lets say I apply now and get rejected, would i be able to apply again to the same program in january or february with my grade 12 marks?","Communications - Creative Advertising,Seneca College of Applied Arts & Technology"
"When the only requirement for a college program is grade 12 english, does that mean they only look at your english mark? (your overall average doesn’t matter)?",theres this program i want to get into and the only requiremnt is grade 12 english. does this mean they will only look at my english mark and they wont look at my overall average from the rest pf my grade 12 classes? i tried emailing them but i was cpnfused with the answer.,Seneca College of Applied Arts & Technology
Messed up my first adv functions test,"Hey guys,",Mathematics
"Thinking, communication and application on assignments","How Do I score 100 in these 3 assessments? The definitions on the rubric are very vague (e.g through, high degree etc.)",Education - Grades 9 to 12
I want to go to UBC Science but i dont think im good enough,i needed some advice..,"University of British Columbia,Simon Fraser University"
High School,"Hi, i am currently in grade 11 and i want to take biology and chemistry., but cant take both in second semester. The only way i could take both is if i didnt do engish and did it in the summer. Would that be okay if i took grade 11 english in the summer when i go into grade 12?","University of Toronto,McMaster University"
UTSG Computer Science/Waterloo Software Engineering Admission,"I am a Grade 12 Student at a relatively large public school in Ottawa, and I am wondering about my chances of admission to UTSG CS and Waterloo SE/CS. My stats are as follows:","University of Toronto,Engineering - Computer,University of Waterloo,Computer Science"
High School (URGENT)- Need Tips Plz,"Hi guys,","Ryerson University,High School,McMaster University,York University,George Brown College"
Taking business in university?,"Hey guys, I had a couple questions regarding pursuing business in University.","Queen's University,University of Western Ontario"
Will I get into University of Victoria?,"Hello, I recently applied to University of Victoria in the Faculty of Science. I've graduated high school with an average of 87% in Manitoba, and I was wondering what the chances are for me to get accepted to the university. I do meet all the requirements in terms of courses. Will my graduation out of province make it harder for me to get accepted?",University of Victoria
Is time more precious than money?,"I get it we need some change to survive, but think of all fortunate people. These people work for what they are worth, and most of you work for what your employers think you are worth. You give these employers 90,360+ hours of your time . Nothing special about these people,sorry you are going to die doing regular people things! We are taught that time is money I say time is above, you can earn all the money you want, but you cannot have all the time you want.",General
"Chances for Queen's Commerce, Waterloo( CS/BBA, SE), UBC Sauder, UTSG CS","My average in grade 11 was a 93, with a 95 in ICS 4U, and a 95 in Data
 
 My projected marks this year:
 Adv Functions: 95
 English: 88
 French:97
 Calc: 98
 Physics: 86
 Chem: 94
 
 My ECs: 
 Founder of an internationally renowned club
 Over 800 volunteering hours
 Founder of a large community initiative
 FRC tech lead
 Recipient of a municipal honour
 Varsity sports (With regional and provincial honours)","University of Toronto,University of British Columbia,Queen's University,University of Waterloo"
Queens Computing 2018 - Competitive Average and Conditional,"For all queens students doing computing, i know it says on their website that you need an 83 but what is the competitive average. What did you get in with and what did u need to keep?",Computer Science
The Best Undergraduate Business in Canada,"I am wondering what the best undergraduate business programs are in Canada. It is extremely difficult to figure out what program is the best as every list or ranking is based off of the graduate programs or the entire university as a whole. I am familiar with the likes of Queen's, Western Ivey, York, McGill, UBC and others but I am curious about which is the best, and why.","McGill University,University of British Columbia,York University,Queen's University,Business - Commerce,University of Western Ontario"
Canadian Undergrad to the Ivy League,"I am curious to see the opinions on Canadian students travelling down to the US after the completion of their undergrad. For example, a Commerce student going to Yale for Law, or an Engineering major taking a crack at an MBA at UPenn. Do you think there is any value to doing so, and if there is, what Canadian schools do you think most commonly send their students down to the US after undergrad. Just curious about the opinions of others :)","Yale University,University of Pennsylvania,University of Toronto,MBA"
University cut-offs,"I tried to post this before but I don't think it worked. When a university (I want to go to McMaster but any information is helpful) talks about cut-offs, do they mean all your grades have to be over this mark, or the average has to be over it? E.g. if you have a 70 and a 90 and the cut off is 80, will you get into the program you want?","Brock University,McMaster University"
I am a Second Year BBA student with co-op option at Wilfrid Laurier University here to answer your questions!,"Hey everyone! I am a second year BBA student who just recently got accepted into the co-op program and I'm here to answer any questions you guys might have about the application process, marks, how university life generally is etc. I applied to a lot of other business programs, so I know a fair amount about them as well! I promise to be as unbiased as possible, and I know how stressful applying to programs is, so shoot me any questions you have and I'll help y'all out!","York University,BBA,University of Western Ontario,McMaster University,University of Waterloo,Ryerson University,Wilfrid Laurier University,University of Toronto,Business - General"
Is it worth applying to Queens commerce?,"In your honest opinion, do you think I could get into Queens commerce even though I got a 77% in pre-calc 11? I hate to be the student who blames their grade on the teacher, but seriously, she was crap.","Business - Commerce,Business,Queen's University"
I want to go to UBC Sauder but I feel like I'm not good enough to apply,Hi,"Business,University of British Columbia"
Do grade 11 marks matter for regular uni applications,My marks in grade 11 (last year) weren't up to expectations given that I missed just over 1/3 of my classes 1st semester because I got quite sick.,University of Toronto - New College
Best business universities,What are the best universities for the commerce and management programs in Ontario?,"University of Toronto,McMaster University,Wilfrid Laurier University,Business - Administration,Business - Commerce,Ontario Schools,University of Waterloo"
"Chances for Queen's Commerce, Waterloo( CS/BBA, SE), UBC Sauder, UTSG CS","My average in grade 11 was a 93, with a 95 in ICS 4U, and a 95 in Data","University of Waterloo,University of British Columbia,Queen's University,University of Toronto"
Who sees Grade 11 marks for students in Quebec?,"So long story short, I didnt do that well in my first semester of grade 11 in math (which counts for 20% of my overall grade 11 mark).",Cégep John Abbott College
Design reviews,Hello there! I am currently working on the design of this page of a plumbing website: https://www.plumbwize.ca/plumber-hamilton/. Can you please leave any feedback? Would be good to listen to some opinions,"Computer Graphics, Web Design"
HELP! HELP! HELP!,"Hi I am a grade 12 student who wishes to go to Queens University, Waterloo, Mac, UofT, Ottawa or Western. I was wondering what average do these universities require, do they require their pre-requistes average, total average of the entire high school year or just the average of your 6 highest courses. Any info is useful and don't judge me.","University of Toronto,Ottawa University,McMaster University,University of Toronto - Faculty of Pharmacy,York University,University of Ottawa,University of Waterloo,Stress Management,Queens University of Charlotte,Western University of Health Sciences,High School"
UofT Engineering Science Requirements,"Hi guys,","Engineering,University of Toronto"
U of T Rotman Early Acceptance,"Hey everyone,",University of Toronto
Schulich first year BBA - ask me anything!,"Hey everyone,",York University
McGill Sciences,"I just submitted my application for McGill for the first year biomed/life sciences, and was wondering the odds of me being accepted into this program.",McGill University
Help!! Should I transfer to another university?,Hello. I’m an international student currently in my first year of Economics at Brock. Since I arrived here I’ve heard from many people that Brock isn’t as prestigious as many other Canadian universities.,"Brock University,McMaster University,McGill University"
University Of calgary 2019 early admission,I currently in grade 12.,Computer Science
I need some advice on my grades,"Hey! So i had a pretty low average in my grade 11 year with a 86.6% however i'm doing far better now in grade 12, will i be rejected when applying to my top university choices; ubc/sfu because i would like to get into science however my physics 11 mark was a 60% i re did the course in the summer and received an 82% is there a chance of me getting in with better grade 12 marks or am i hopeless with my low grade 11 marks?Will my second mark show up for physics acknowledging my improvement?","University of British Columbia,Simon Fraser University"
Will I get into uofa with a 80% Average?,"I applied at the faculty of arts and sciences in psychology a week ago almost. the competitive admission average for arts stated low 70s to low 80s but I still did not get accepted into arts with early admission. My friends have already received their offers. Also, does the admission average go down after early admission, is there a chance I can still get into arts or sciences in psychology?","Chemical Engineering,University of Calgary,Academics,University of Alberta,University of Toronto,Canada,Computer Science"
Arts @ Queens and Western,,"University of Western Ontario,Queen's University"
